Site_ID,Planned_Kiosk_Type,Installation_Status,PPT_ID,Legacy_ID,Borough,Council_District,Community_Board,Street_Address,Cross_Street_1,Cross_Street_2,IxN_Corner,Postcode,Zoning,Latitude,Longitude,Installation_Complete,Activation_Complete,Neighborhood_Tabulation_Area_(NTA),Building_Identification_Number_(BIN),Borough-Block-Lot_(BBL),Census_Tract_(CT),Location
qu-13-160011,Link5G_NonAd,Live,,,Queens,31,413,241-01 135 AVENUE,242nd ST,241st ST,SW,11422,R2,40.6717,-73.73323,2/23/24,10/3/24,Rosedale,4283966,4132220001,,"(40.6717, -73.73323)"
bx-02-111492,Link1.0,Live,111492,LINK-010250,Bronx,17,202,948 EAST 163 STREET,KELLY STREET,INTERVALE AVENUE,SE,10459,C1-4,40.820902,-73.896055,2/12/22,5/2/22,Longwood,2005453,2027030018,2008700,"(40.820902, -73.896055)"
bx-07-145690,Link1.0,Live,145690,LINK-005579,Bronx,14,207,30 EAST KINGSBRIDGE ROAD,MORRIS AVENUE,JEROME AVENUE,SW,10468,C1-3,40.867038,-73.896537,8/27/16,11/8/16,Bedford Park-Fordham North,2014144,2031910043,2040100,"(40.867038, -73.896537)"
mn-03-139034,Link1.0,Live,139034,mn-03-139034,Manhattan,2,103,220 1 AVENUE,EAST 14 STREET,EAST 13 STREET,MIDBLOCK,10009,C1-7A,40.730767,-73.982847,2/17/18,5/17/18,East Village,1006010,1004410002,1003400,"(40.730767, -73.982847)"
mn-05-108039,Link1.0,Live,108039,mn-05-108039,Manhattan,3,105,1149 BROADWAY,WEST 27 STREET,WEST 26 STREET,NW,10001,M1-6,40.744243,-73.989016,10/1/16,11/8/16,Hudson Yards-Chelsea-Flatiron-Union Square,1015655,1008280051,1005800,"(40.744243, -73.989016)"
si-01-152115,Link1.0,Live,,,Staten Island,49,501,814 RICHMOND TERRACE,TYSEN STREET,CLINTON AVENUE,SE,10301,M1-1,40.644698,-74.099459,11/1/22,2/6/23,West New Brighton-New Brighton-St. George,5001742,5000700020,,"(40.644698, -74.099459)"
qu-01-146038,Link1.0,Live,146038,LINK-020984,Queens,22,401,35-19 31 AVENUE,36 STREET,35 STREET,NW,11103,C1-3,40.762564,-73.919579,12/15/17,3/8/18,Astoria,4009891,4006500001,4006300,"(40.762564, -73.919579)"
mn-07-120524,Link1.0,Live,120524,mn-07-120524,Manhattan,7,107,201 WEST 100 STREET,AMSTERDAM AVENUE,BROADWAY,NW,10025,C1-5,40.796737,-73.968647,7/28/16,10/10/16,Upper West Side,1056483,1018720029,1018700,"(40.796737, -73.968647)"
qu-03-132974,Link5G_Ad,Live,132974,85083,Queens,25,403,74-18 37 AVENUE,75th Street,74th Street,SW,11372,C4-3,40.748975,-73.89107,12/1/22,4/26/23,Jackson Heights,4029828,4012850040,,"(40.748975, -73.89107)"
mn-07-121247,Link1.0,Live,121247,mn-07-121247,Manhattan,6,107,2310 BROADWAY,WEST 84 STREET,WEST 83 STREET,SE,10024,C4-6A,40.786896,-73.977483,4/22/16,5/4/16,Upper West Side,1032790,1012310047,1017100,"(40.786896, -73.977483)"
mn-08-121023,Link1.0,Live,121023,mn-08-121023,Manhattan,5,108,1460 3 AVENUE,EAST 83 STREET,EAST 82 STREET,SW,10028,C1-9,40.776833,-73.955586,2/15/16,3/30/16,Upper East Side-Carnegie Hill,1047619,1015110033,1014000,"(40.776833, -73.955586)"
mn-05-108001,Link1.0,Live,108001,mn-05-108001,Manhattan,3,105,66 WEST 21 STREET,6 AVENUE,5 AVENUE,SE,10010,C6-2A,40.741502,-73.993593,4/14/18,5/21/18,Hudson Yards-Chelsea-Flatiron-Union Square,1015514,1008220076,1005400,"(40.741502, -73.993593)"
bx-01-123212,Link1.0,Live,123212,bx-01-123212,Bronx,17,201,2976A 3 AVENUE,EAST 153 STREET,EAST 154 STREET,NE,10455,C4-4,40.81856,-73.9143,1/21/17,3/30/17,Melrose South-Mott Haven North,2001180,2023630012,2007100,"(40.81856, -73.9143)"
qu-01-146039,Link1.0,Live,146039,LINK-020960,Queens,22,401,33-20 31 AVENUE,34 STREET,33 STREET,SW,11106,C1-3,40.763207,-73.921267,12/15/17,6/7/19,Astoria,4008904,4006230044,4006100,"(40.763207, -73.921267)"
mn-07-120641,Link1.0,Live,120641,mn-07-120641,Manhattan,7,107,1011 COLUMBUS AVENUE,CATHEDRAL PARKWAY,WEST 109 STREET,SE,10025,C2-5,40.801498,-73.961082,1/25/18,4/20/18,Morningside Heights,1055741,1018450003,1019300,"(40.801498, -73.961082)"
bx-05-111577,Link1.0,Live,111577,bx-05-111577,Bronx,14,205,111 EAST BURNSIDE AVENUE,CRESTON AVENUE,MORRIS AVENUE,NW,10453,C1-4,40.853028,-73.905076,4/15/17,6/13/17,Mount Hope,2013846,2031690059,2024100,"(40.853028, -73.905076)"
mn-04-137195,Link1.0,Live,137195,mn-04-137195,Manhattan,3,104,455 WEST 53 STREET,10 AVENUE,9 AVENUE,NE,10019,C6-2,40.766683,-73.99021,11/14/17,5/16/18,Clinton,1026754,1010630001,1013300,"(40.766683, -73.99021)"
qu-06-144552,Link5G_Ad,Live,144552,SC90558,Queens,29,406,96-70 QUEENS BOULEVARD,64th Road,63rd Drive,SW,11374,C4-2,40.729209,-73.860566,2/23/23,6/5/23,Rego Park,4072130,4030820071,,"(40.729209, -73.860566)"
mn-06-138570,Link1.0,Live,138570,mn-06-138570,Manhattan,4,106,245 EAST 40 STREET,2 AVENUE,TUNNEL EXIT STREET,NW,10017,C1-9,40.748673,-73.973326,11/4/17,4/4/18,Turtle Bay-East Midtown,1037175,1013140021,1008800,"(40.748673, -73.973326)"
mn-08-120996,Link1.0,Live,120996,mn-08-120996,Manhattan,4,108,1349 3 AVENUE,EAST 77 STREET,EAST 78 STREET,NE,10075,C1-9,40.773006,-73.958069,7/8/16,7/19/16,Lenox Hill-Roosevelt Island,1044096,1014320001,1013400,"(40.773006, -73.958069)"
qu-12-155917,Link1.0,Live,,,Queens,28,412,106-17 153rd STREET,153RD STREET,154TH STREET,SE,11433,C2-3,40.695872,-73.800395,11/1/22,2/28/23,South Jamaica,,4101210058,,"(40.695872, -73.800395)"
mn-05-122615,Link1.0,Live,122615,mn-05-122615,Manhattan,3,105,908 8 AVENUE,WEST 54 STREET,WEST 53 STREET,SE,10019,C6-4,40.764646,-73.984229,3/18/16,4/1/16,Midtown-Midtown South,1024832,1010257502,1013100,"(40.764646, -73.984229)"
bk-09-153615,Link1.0,Live,153615,,Brooklyn,35,309,145 MONTGOMERY STREET,MONTGOMERY STREET,CROWN STREET,NW,11225,C2-4,40.666415,-73.959578,9/21/22,11/11/22,Crown Heights South,3330786,3011900029,213,"(40.666415, -73.959578)"
bx-02-153487,Link5G_Ad,Live,153487,,Bronx,8,202,700 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,BRUCKNER BOULEVARD,NE,10455,C8-3,40.813436,-73.898846,7/9/22,10/11/22,Longwood,,2027290001,,"(40.813436, -73.898846)"
mn-05-137210,Link1.0,Live,137210,mn-05-137210,Manhattan,4,105,410 MADISON AVENUE,EAST 48 STREET,EAST 49 STREET,NW,10017,C5-3,40.756742,-73.97653,4/30/17,5/26/17,Midtown-Midtown South,1035437,1012840014,1009400,"(40.756742, -73.97653)"
qu-03-160025,Link5G_Ad,Live,,LINK-020890,Queens,25,403,81-20 NORTHERN BOULEVARD,82nd Street,81st Street,S,11372,C1-2,40.75543,-73.88559,2/6/24,4/12/24,Jackson Heights,,4012540006,,"(40.75543, -73.88559)"
mn-05-123077,Link1.0,Live,123077,mn-05-123077,Manhattan,2,105,100 EAST 22 STREET,PARK AVENUE,LEXINGTON AVENUE,SE,10010,C6-4A,40.739409,-73.986712,3/11/17,8/7/17,Gramercy,1018009,1008770089,1006800,"(40.739409, -73.986712)"
bk-09-127022,Link1.0,Live,127022,bk-09-127022,Brooklyn,40,309,1208 NOSTRAND AVENUE,HAWTHORNE STREET,WINTHROP STREET,SW,11225,C2-3,40.65774,-73.950407,2/17/17,3/7/17,Prospect Lefferts Gardens-Wingate,3115751,3050470039,3080200,"(40.65774, -73.950407)"
bx-05-119566,Link1.0,Live,119566,bx-05-119566,Bronx,14,205,1999 UNIVERSITY AVENUE,WEST 179 STREET,WEST BURNSIDE AVENUE,SE,10453,C2-4,40.854764,-73.911439,12/22/16,1/17/17,University Heights-Morris Heights,2014698,2032160060,2024502,"(40.854764, -73.911439)"
bx-05-119634,Link1.0,Live,119634,LINK-012901,Bronx,15,205,2505 WEBSTER AVENUE,E FORDHAM RD,E 189TH ST,MIDBLOCK,10458,C4-4,40.861272,-73.891991,3/3/22,5/3/22,Bedford Park-Fordham North,2011073,2030260037,2039902,"(40.861272, -73.891991)"
mn-08-120990,Link1.0,Live,120990,mn-08-120990,Manhattan,4,108,181 EAST 73 STREET,3 AVENUE,LEXINGTON AVENUE,NW,10021,C1-9,40.770545,-73.960254,3/5/16,3/29/16,Upper East Side-Carnegie Hill,1043046,1014080033,1012800,"(40.770545, -73.960254)"
mn-12-120798,Link1.0,Live,120798,LINK-011287,Manhattan,10,112,4058 BROADWAY,WEST 171 STREET,WEST 170 STREET,SE,10032,C2-4,40.843034,-73.939086,2/18/22,4/25/22,Washington Heights South,1063459,1021410001,1025300,"(40.843034, -73.939086)"
mn-07-134701,Link1.0,Live,134701,mn-07-134701,Manhattan,6,107,251 WEST 93 STREET,BROADWAY,WEST END AVENUE,NW,10025,C4-6A,40.792887,-73.973447,8/13/17,10/6/17,Upper West Side,1033644,1012410010,1017900,"(40.792887, -73.973447)"
mn-12-111623,Link1.0,Live,111623,mn-12-111623,Manhattan,10,112,1439 ST. NICHOLAS AVENUE,WEST 182 STREET,WEST 181 STREET,SW,10033,C1-4,40.849854,-73.933473,12/5/17,2/20/18,Washington Heights North,1063943,1021650011,1027100,"(40.849854, -73.933473)"
bx-01-146060,Link1.0,Live,146060,LINK-020548,Bronx,8,201,530 EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,MIDBLOCK,10454,C1-4,40.807108,-73.918343,2/12/18,7/11/18,Mott Haven-Port Morris,2000040,2022650035,2002500,"(40.807108, -73.918343)"
bx-04-145687,Link1.0,Live,145687,LINK-005435,Bronx,8,204,1049 GERARD AVENUE,EAST 165 STREET,EAST 164 STREET,SW,10452,C1-4,40.831543,-73.922645,8/27/16,1/17/17,West Concourse,2002938,2024770015,2019500,"(40.831543, -73.922645)"
