Site ID,Planned Kiosk Type,Installation Status,Street Address,Location,Borough,Installation Complete
qu-13-160011,Link5G_NonAd,Live,241-01 135 AVENUE,"(40.6717, -73.73323)",Queens,02/23/2024
mn-03-158821,Link5G_Ad,Live,36 RIVINGTON STREET,"(40.72111, -73.991366)",Manhattan,10/18/2022
mn-12-134409,Link1.0,Live,4791 BROADWAY,"(40.866152, -73.925806)",Manhattan,02/10/2022
mn-03-122031,Link1.0,Live,440 EAST 14 STREET,"(40.730496, -73.980768)",Manhattan,04/02/2017
mn-04-123494,Link1.0,Live,200 WEST 23 STREET,"(40.744114, -73.995892)",Manhattan,10/07/2017
si-01-152115,Link1.0,Live,814 RICHMOND TERRACE,"(40.644698, -74.099459)",Staten Island,11/01/2022
mn-08-121756,Link1.0,Live,1175 2 AVENUE,"(40.762417, -73.963159)",Manhattan,01/27/2018
mn-11-120199,Link1.0,Live,2240 2 AVENUE,"(40.79636, -73.938107)",Manhattan,12/18/2016
qu-03-136656,Link1.0,Live,93-19 ROOSEVELT AVENUE,"(40.748869, -73.872933)",Queens,08/05/2017
mn-07-133415,Link1.0,Live,2298 BROADWAY,"(40.786223, -73.977993)",Manhattan,04/06/2016
mn-08-121010,Link1.0,Live,1450 3 AVENUE,"(40.776366, -73.955931)",Manhattan,02/15/2016
mn-04-135620,Link1.0,Live,127 8 AVENUE,"(40.741373, -74.001501)",Manhattan,08/05/2017
mn-10-134578,Link1.0,Live,2380 ADAM CLAYTON POWELL JR. BOULEVARD,"(40.818029, -73.941924)",Manhattan,08/13/2017
mn-05-122657,Link1.0,Live,821 7 AVENUE,"(40.763036, -73.981711)",Manhattan,04/01/2017
mn-11-120070,Link1.0,Live,1421 5 AVENUE,"(40.800781, -73.946241)",Manhattan,10/15/2016
bx-05-159985,Link5G_Ad,Live,132 FEATHERBED LANE,"(40.85207, -73.8984)",Bronx,12/14/2023
qu-01-125132,Link1.0,Live,32-04 30 AVENUE,"(40.766386, -73.920459)",Queens,05/06/2017
mn-03-108511,Link1.0,Live,35 ST. MARKS PLACE,"(40.728756, -73.987914)",Manhattan,09/16/2017
qu-03-136305,Link1.0,Live,90-13 ROOSEVELT AVENUE,"(40.748551, -73.875775)",Queens,08/05/2017
mn-08-121031,Link1.0,Live,34 EAST 73 STREET,"(40.772373, -73.964839)",Manhattan,02/17/2018
qu-12-123982,Link5G_Ad,Live,204-03 LINDEN BOULEVARD,"(40.695545, -73.748533)",Queens,09/08/2022
mn-04-139998,Link1.0,Live,728 10 AVENUE,"(40.764456, -73.99182)",Manhattan,10/07/2017
bk-06-145902,Link1.0,Live,258 14 STREET,"(40.66623, -73.989057)",Brooklyn,07/31/2017
bx-02-157804,Link5G_Ad,Live,1390 RANDALL AVENUE,"(40.812779, -73.881469)",Bronx,06/30/2022
qu-03-159984,Link1.0,Live,91-01 NORTHERN BOULEVARD,"(40.7565604, -73.8768487)",Queens,11/06/2023
mn-06-121824,Link1.0,Live,797 3 AVENUE,"(40.755233, -73.971032)",Manhattan,02/08/2016
qu-04-145898,Link1.0,Live,84-43 CORONA AVENUE,"(40.739332, -73.87813)",Queens,08/05/2017
bk-09-126563,Link5G_Ad,Live,660 FLATBUSH AVENUE,"(40.657164, -73.960338)",Brooklyn,10/29/2022
bx-05-119644,Link1.0,Live,333 EAST 181 STREET,"(40.85397, -73.898365)",Bronx,07/28/2022
bx-05-119606,Link1.0,Live,2374 JEROME AVENUE,"(40.86063, -73.902369)",Bronx,06/09/2016
mn-07-133518,Link1.0,Live,10 WEST 61 STREET,"(40.769839, -73.982502)",Manhattan,04/30/2016
bx-04-119141,Link1.0,Live,1391 JEROME AVENUE,"(40.840248, -73.918194)",Bronx,06/10/2017
mn-11-143074,Link1.0,Live,1950 3 AVENUE,"(40.792394, -73.94423)",Manhattan,03/05/2016
bx-06-119388,Link1.0,Live,1948 WEBSTER AVENUE,"(40.849093, -73.900031)",Bronx,05/10/2017
